Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
0.8983154,0.036233123391866684,0.048021625727415085,0.014519681222736835,,,,,,,,,,,
0.4363532,0.20190130174160004,0.33951541781425476,,,,,,,,,,,,
0.3111874,0.09386754781007767,0.1019403487443924,0.15603101253509521,0.32838577032089233,,,,,,,,,,
0.13932748,0.13143104314804077,0.02675693668425083,0.21558618545532227,0.012972148135304451,0.046813126653432846,0.42452940344810486,,,,,,,,
0.025263235,0.019859934225678444,0.016690943390130997,0.01470023300498724,0.012031793594360352,0.02262280322611332,0.01991770975291729,0.017357826232910156,0.028458135202527046,0.01510595716536045,0.01841632090508938,0.0156414695084095,0.731974720954895,0.03455490618944168,
0.41896775,0.5360195636749268,,,,,,,,,,,,,
0.06750609,0.13445694744586945,0.017821893095970154,0.23409399390220642,0.16596435010433197,0.12646904587745667,0.24548444151878357,,,,,,,,
0.10768442,0.42518824338912964,0.460867702960968,,,,,,,,,,,,
0.10842009,0.27793529629707336,0.585083544254303,,,,,,,,,,,,
0.2527847,0.4856931269168854,0.23809701204299927,,,,,,,,,,,,
0.2458074,0.5745199918746948,0.029162554070353508,0.040666501969099045,0.04257430508732796,0.06201966851949692,,,,,,,,,
0.19977078,0.3005155324935913,0.09660803526639938,0.38663432002067566,,,,,,,,,,,
0.30887958,0.6511905789375305,,,,,,,,,,,,,
0.30311412,0.05570254847407341,0.1371033787727356,0.03888319432735443,0.30046772956848145,0.15514881908893585,,,,,,,,,
0.061303187,0.23127278685569763,0.06613042205572128,0.15628017485141754,0.47485125064849854,,,,,,,,,,
0.040219434,0.5846973657608032,0.11011698842048645,0.22252866625785828,0.03814365714788437,,,,,,,,,,
0.29464734,0.06184916943311691,0.11008154600858688,0.28796160221099854,0.2390732765197754,,,,,,,,,,
0.07368486,0.285427451133728,0.6156959533691406,,,,,,,,,,,,
0.19190128,0.796983540058136,,,,,,,,,,,,,
0.06393174,0.4782978296279907,0.4492344558238983,,,,,,,,,,,,
0.12928109,0.2529813051223755,0.06357076019048691,0.2781175374984741,0.26762476563453674,,,,,,,,,,
0.16680877,0.09236746281385422,0.013763980939984322,0.20291708409786224,0.15776585042476654,0.36397263407707214,,,,,,,,,
0.05049988,0.3823539912700653,0.3490631580352783,0.2096034437417984,,,,,,,,,,,
0.16807348,0.7071231603622437,0.11352235823869705,,,,,,,,,,,,
0.31179032,0.5997277498245239,0.080779530107975,,,,,,,,,,,,
0.31564814,0.2153569459915161,0.4629606604576111,,,,,,,,,,,,
0.99219036,,,,,,,,,,,,,,
0.2693905,0.08937367796897888,0.2386312335729599,0.3929520845413208,,,,,,,,,,,
0.15120523,0.17953254282474518,0.6248742938041687,,,,,,,,,,,,
0.14895456,0.27980145812034607,0.20193199813365936,0.35722652077674866,,,,,,,,,,,
0.4803863,0.05643359571695328,0.026929354295134544,0.29356637597084045,0.1311599761247635,,,,,,,,,,
0.31310594,0.6533474922180176,,,,,,,,,,,,,
0.5342465,0.029254740104079247,0.23079532384872437,0.0988619476556778,0.09941548109054565,,,,,,,,,,
0.984495,,,,,,,,,,,,,,
0.73671514,0.2220315933227539,,,,,,,,,,,,,
0.24758522,0.08574243634939194,0.06650420278310776,0.2577052414417267,0.3309270441532135,,,,,,,,,,
0.069718696,0.3010648488998413,0.01108010858297348,0.014764012768864632,0.019409820437431335,0.016980260610580444,0.23453475534915924,0.20532634854316711,0.08390078693628311,0.016726210713386536,0.025126229971647263,,,,
0.11168946,0.13637520372867584,0.3673693835735321,0.11987247318029404,0.25742870569229126,,,,,,,,,,
0.20135875,0.25417929887771606,0.08438298106193542,0.1323753297328949,0.3108264207839966,,,,,,,,,,
0.010500246,0.17122870683670044,0.011827843263745308,0.012047507800161839,0.7257959842681885,,,,,,,,,,
0.29338062,0.5873345136642456,0.09958765655755997,,,,,,,,,,,,
0.5699324,0.012589245103299618,0.15511482954025269,0.1909639686346054,0.06864055246114731,,,,,,,,,,
0.13797902,0.2511354982852936,0.22714748978614807,0.06954171508550644,0.12281982600688934,0.11646494269371033,0.07167170941829681,,,,,,,,
0.09932594,0.06749457865953445,0.06676565855741501,0.10160688310861588,0.28239041566848755,0.3047228157520294,0.06976854056119919,,,,,,,,
0.61108166,0.1471964567899704,0.07443249225616455,0.16189083456993103,,,,,,,,,,,
0.37189254,0.6168293356895447,,,,,,,,,,,,,
0.015355382,0.049324020743370056,0.08758769184350967,0.14049132168293,0.281155526638031,0.42263519763946533,,,,,,,,,
0.21089548,0.7740350961685181,,,,,,,,,,,,,
0.0923318,0.639072597026825,0.2493826448917389,,,,,,,,,,,,
0.30788037,0.11926419287919998,0.5449366569519043,,,,,,,,,,,,
0.6134289,0.36835864186286926,,,,,,,,,,,,,
0.20976326,0.6190382242202759,0.13201923668384552,,,,,,,,,,,,
0.3977401,0.5711064338684082,,,,,,,,,,,,,
0.19354968,0.14961689710617065,0.1847420483827591,0.433154821395874,,,,,,,,,,,
0.6014366,0.0402064174413681,0.04342294856905937,0.04609369859099388,0.25383657217025757,,,,,,,,,,
0.5311819,0.2006382793188095,0.12523610889911652,0.1389145702123642,,,,,,,,,,,
0.22940782,0.14683027565479279,0.046795837581157684,0.5495738387107849,,,,,,,,,,,
0.056184683,0.35924169421195984,0.29914024472236633,0.15437275171279907,0.11647246032953262,,,,,,,,,,
0.024137177,0.29637610912323,0.054774899035692215,0.036380425095558167,0.5799615383148193,,,,,,,,,,
0.2664674,0.38525092601776123,0.3338829576969147,,,,,,,,,,,,
0.4768744,0.026891537010669708,0.16759106516838074,0.09216658771038055,0.19265419244766235,0.04145657271146774,,,,,,,,,
0.6746394,0.07063993811607361,0.07351703941822052,0.1248507872223854,0.05310541018843651,,,,,,,,,,
0.089982875,0.05859661102294922,0.8327400088310242,,,,,,,,,,,,
0.04909155,0.27413803339004517,0.08934997022151947,0.04410908371210098,0.452241986989975,0.04336034134030342,0.04582822695374489,,,,,,,,
0.47495508,0.36475470662117004,0.14676624536514282,,,,,,,,,,,,
0.118723616,0.1329866498708725,0.22564084827899933,0.5081390738487244,,,,,,,,,,,
0.11127302,0.25082412362098694,0.11364846676588058,0.1046430692076683,0.40988481044769287,,,,,,,,,,
0.09830888,0.5042861700057983,0.3755068778991699,,,,,,,,,,,,
0.9603778,,,,,,,,,,,,,,
0.11047328,0.3232584297657013,0.5188600420951843,,,,,,,,,,,,
0.10778655,0.47307729721069336,0.024276047945022583,0.040104903280735016,0.33297622203826904,0.01957211084663868,,,,,,,,,
0.16264322,0.09511657059192657,0.16338644921779633,0.16281254589557648,0.4052942395210266,,,,,,,,,,
0.023187911,0.09334118664264679,0.02027479186654091,0.7592951059341431,0.10109316557645798,,,,,,,,,,
0.04230245,0.12167968600988388,0.3679353594779968,0.4476115107536316,,,,,,,,,,,
0.8601881,0.13346973061561584,,,,,,,,,,,,,
0.16163902,0.22907136380672455,0.5797938704490662,,,,,,,,,,,,
0.038200486,0.03296307846903801,0.7328590750694275,0.06527184695005417,0.1139678806066513,,,,,,,,,,
0.16090128,0.1867305040359497,0.1500263661146164,0.3103109300136566,0.1884453296661377,,,,,,,,,,
0.37458006,0.4029410779476166,0.1940259337425232,,,,,,,,,,,,
0.5938687,0.05464910715818405,0.17136509716510773,0.16998794674873352,,,,,,,,,,,
0.04788774,0.04761182889342308,0.3340029716491699,0.2170143574476242,0.34596580266952515,,,,,,,,,,
0.21526109,0.13720858097076416,0.04617505893111229,0.4457840621471405,0.13681136071681976,,,,,,,,,,
0.18196209,0.8089472651481628,,,,,,,,,,,,,
0.1712809,0.3326873779296875,0.4811176359653473,,,,,,,,,,,,
0.77634364,0.20114649832248688,,,,,,,,,,,,,
0.421922,0.11477787047624588,0.1934235394001007,0.05153943598270416,0.12105295062065125,0.040772512555122375,0.028181931003928185,0.02144285850226879,,,,,,,
0.24176992,0.02090337872505188,0.725757360458374,,,,,,,,,,,,
0.26285377,0.2562186121940613,0.03498969227075577,0.03530538082122803,0.40276744961738586,,,,,,,,,,
0.077164404,0.05949006229639053,0.1958521157503128,0.3095210790634155,0.34604722261428833,,,,,,,,,,
0.246413,0.1877284198999405,0.3359159231185913,0.10593357682228088,0.051175475120544434,0.07000231742858887,,,,,,,,,
0.06979313,0.42955318093299866,0.48728203773498535,,,,,,,,,,,,
0.31628004,0.1177501454949379,0.11146864295005798,0.20293428003787994,0.24035105109214783,,,,,,,,,,
0.03986107,0.03930315375328064,0.05357274413108826,0.09483145922422409,0.20821768045425415,0.5602121353149414,,,,,,,,,
0.3894323,0.22820517420768738,0.17241662740707397,0.19872820377349854,,,,,,,,,,,
0.09957873,0.8566010594367981,,,,,,,,,,,,,
0.18292825,0.8056786060333252,,,,,,,,,,,,,
0.11323713,0.5959227681159973,0.2722824215888977,,,,,,,,,,,,
0.3166277,0.1764579564332962,0.08084937930107117,0.21572914719581604,0.09163215756416321,0.11246006190776825,,,,,,,,,
0.21832627,0.7566303610801697,,,,,,,,,,,,,
0.8550547,0.11980704963207245,,,,,,,,,,,,,
0.05650985,0.8841989040374756,0.044773168861866,,,,,,,,,,,,
0.6956852,0.26541000604629517,,,,,,,,,,,,,
0.41602302,0.1819412112236023,0.20863918960094452,0.15641403198242188,0.029324419796466827,,,,,,,,,,
0.08800968,0.39159825444221497,0.013363601639866829,0.04023170471191406,0.07624398171901703,0.043632667511701584,0.32423001527786255,0.02063707262277603,,,,,,,
0.0666103,0.14125174283981323,0.01027766801416874,0.17654436826705933,0.45357704162597656,0.14856550097465515,,,,,,,,,
0.15727475,0.27736687660217285,0.3080333471298218,0.08075669407844543,0.17008711397647858,,,,,,,,,,
0.07472619,0.279526948928833,0.25245988368988037,0.38006752729415894,,,,,,,,,,,
0.40991548,0.1645471155643463,0.10047446936368942,0.3109338581562042,,,,,,,,,,,
0.2641851,0.1456650346517563,0.1301472783088684,0.30275920033454895,0.14131858944892883,,,,,,,,,,
0.5883418,0.13440299034118652,0.05078314244747162,0.21831440925598145,,,,,,,,,,,
0.3737359,0.11796969175338745,0.16788199543952942,0.04214365780353546,0.29003751277923584,,,,,,,,,,
0.17320457,0.5329974889755249,0.10904333740472794,0.017974141985177994,0.16086237132549286,,,,,,,,,,
0.27827653,0.21796965599060059,0.4883309304714203,,,,,,,,,,,,
